Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date,TXN_Prefix,TXN_Number
Txn_1961373,Coffee,2,2,4,Credit Card,Takeaway,2023-09-08,TXN,1961373
Txn_4977031,Cake,4,3,12,Cash,In-Store,2023-05-16,TXN,4977031
Txn_4271903,Cookie,4,1,,Credit Card,In-Store,2023-07-19,TXN,4271903
Txn_7034554,Salad,2,5,10,Not Provided,Not Provided,2023-04-27,TXN,7034554
Txn_3160411,Coffee,2,2,4,Digital Wallet,In-Store,2023-06-11,TXN,3160411
Txn_2602893,Smoothie,5,4,20,Credit Card,Not Provided,2023-03-31,TXN,2602893
Txn_4433211,Not Provided,3,3,9,Not Provided,Takeaway,2023-10-06,TXN,4433211
Txn_6699534,Sandwich,4,4,16,Cash,Not Provided,2023-10-28,TXN,6699534
Txn_4717867,Not Provided,5,3,15,Not Provided,Takeaway,2023-07-28,TXN,4717867
Txn_2064365,Sandwich,5,4,20,Not Provided,In-Store,2023-12-31,TXN,2064365
Txn_2548360,Salad,5,5,25,Cash,Takeaway,2023-11-07,TXN,2548360
Txn_3051279,Sandwich,2,4,8,Credit Card,Takeaway,Date Not Recorded,TXN,3051279
Txn_7619095,Sandwich,2,4,8,Cash,In-Store,2023-05-03,TXN,7619095
Txn_9437049,Cookie,5,1,5,Not Provided,Takeaway,2023-06-01,TXN,9437049
Txn_8915701,Not Provided,2,1.5,3,Not Provided,In-Store,2023-03-21,TXN,8915701
Txn_2847255,Salad,3,5,15,Credit Card,In-Store,2023-11-15,TXN,2847255
Txn_3765707,Sandwich,1,4,4,Not Provided,Not Provided,2023-06-10,TXN,3765707
Txn_6769710,Juice,2,3,6,Cash,In-Store,2023-02-24,TXN,6769710
Txn_8876618,Cake,5,3,15,Cash,Not Provided,2023-03-25,TXN,8876618
Txn_3709394,Juice,4,3,12,Cash,Takeaway,2023-01-15,TXN,3709394
Txn_3522028,Smoothie,3,4,20,Cash,In-Store,2023-04-04,TXN,3522028
Txn_3567645,Smoothie,4,4,16,Credit Card,Takeaway,2023-03-30,TXN,3567645
Txn_5132361,Sandwich,3,4,12,Digital Wallet,Takeaway,2023-12-01,TXN,5132361
Txn_2616390,Sandwich,2,4,8,Not Provided,Not Provided,2023-09-18,TXN,2616390
Txn_9400181,Sandwich,5,4,20,Cash,In-Store,2023-06-03,TXN,9400181
Txn_7958992,Smoothie,3,4,12,Not Provided,Not Provided,2023-12-13,TXN,7958992
Txn_5183041,Cookie,5,1,5,Credit Card,In-Store,2023-04-20,TXN,5183041
Txn_5695074,Juice,4,3,12,Credit Card,Takeaway,2023-04-10,TXN,5695074
Txn_8467949,Smoothie,5,4,20,Credit Card,Not Provided,2023-03-11,TXN,8467949
Txn_7640952,Cake,4,3,12,Digital Wallet,Takeaway,Date Not Recorded,TXN,7640952
Txn_1736287,Not Provided,5,2,10,Digital Wallet,Not Provided,2023-06-02,TXN,1736287
Txn_8927252,Not Provided,2,1,,Credit Card,Not Provided,2023-11-06,TXN,8927252
Txn_9677376,Smoothie,4,4,16,Not Provided,In-Store,2023-08-15,TXN,9677376
Txn_7710508,Not Provided,5,1,5,Cash,Not Provided,Date Not Recorded,TXN,7710508
Txn_8853997,Smoothie,2,4,8,Digital Wallet,Takeaway,2023-10-09,TXN,8853997
Txn_9130559,Sandwich,1,4,4,Credit Card,Not Provided,2023-05-28,TXN,9130559
Txn_6855453,Not Provided,4,3,12,Not Provided,In-Store,2023-07-17,TXN,6855453
Txn_1080432,Salad,2,5,10,Credit Card,In-Store,2023-04-29,TXN,1080432
Txn_2655815,Smoothie,4,4,16,Not Provided,Takeaway,2023-06-08,TXN,2655815
Txn_6688524,Coffee,4,2,8,Not Provided,Not Provided,2023-06-29,TXN,6688524
Txn_2083138,Smoothie,3,4,12,Not Provided,In-Store,2023-04-17,TXN,2083138
Txn_2427584,Sandwich,4,4,16,Not Provided,Takeaway,2023-12-22,TXN,2427584
Txn_6650263,Tea,2,1.5,,Not Provided,Takeaway,2023-01-10,TXN,6650263
Txn_9620080,Juice,4,3,12,Not Provided,Takeaway,2023-10-02,TXN,9620080
Txn_1491578,Cookie,2,1,2,Not Provided,Not Provided,2023-02-23,TXN,1491578
Txn_5455792,Salad,3,5,15,Cash,Not Provided,2023-03-22,TXN,5455792
Txn_8078640,Juice,4,3,12,Digital Wallet,In-Store,2023-11-03,TXN,8078640
Txn_9499313,Juice,5,3,15,Not Provided,Not Provided,2023-03-02,TXN,9499313
Txn_8201146,Juice,5,3,15,Cash,Not Provided,2023-06-26,TXN,8201146
Txn_8230936,Cake,3,3,9,Not Provided,Not Provided,2023-05-02,TXN,8230936
Txn_7742742,Cake,5,3,15,Not Provided,Takeaway,2023-09-05,TXN,7742742
Txn_6342161,Salad,5,5,25,Not Provided,Takeaway,2023-01-08,TXN,6342161
Txn_8914892,Not Provided,5,5,25,Digital Wallet,Not Provided,2023-03-15,TXN,8914892
Txn_3363746,Smoothie,3,4,12,Credit Card,Not Provided,2023-11-25,TXN,3363746
Txn_8614868,Smoothie,5,4,20,Digital Wallet,Takeaway,2023-12-05,TXN,8614868
Txn_5522862,Cookie,3,1,2,Credit Card,Takeaway,2023-03-19,TXN,5522862
Txn_3578141,Cake,5,3,15,Not Provided,Takeaway,2023-06-27,TXN,3578141
Txn_2080895,Cake,3,3,3,Digital Wallet,In-Store,2023-04-19,TXN,2080895
Txn_6421134,Sandwich,4,4,16,Cash,Takeaway,2023-11-03,TXN,6421134
Txn_8813311,Juice,5,3,15,Not Provided,In-Store,2023-10-07,TXN,8813311
Txn_9023317,Salad,1,5,5,Not Provided,Not Provided,2023-09-30,TXN,9023317
Txn_8051289,Not Provided,1,3,3,Not Provided,In-Store,2023-10-09,TXN,8051289
Txn_2537617,Sandwich,1,4,4,Cash,Not Provided,2023-05-27,TXN,2537617
Txn_9099694,Not Provided,3,5,15,Not Provided,Takeaway,2023-11-18,TXN,9099694
Txn_9230615,Smoothie,4,4,16,Digital Wallet,Not Provided,2023-06-01,TXN,9230615
Txn_4987129,Sandwich,3,4,12,Not Provided,In-Store,2023-10-20,TXN,4987129
Txn_8501819,Juice,3,3,6,Cash,Not Provided,2023-03-30,TXN,8501819
Txn_3068204,Cookie,1,1,1,Credit Card,Takeaway,2023-10-03,TXN,3068204
Txn_8427104,Salad,2,5,10,Not Provided,In-Store,2023-10-27,TXN,8427104
Txn_8471743,Not Provided,5,3,15,Digital Wallet,In-Store,2023-04-06,TXN,8471743
Txn_2621580,Tea,2,1.5,3,Cash,In-Store,2023-03-22,TXN,2621580
Txn_4726376,Cake,2,3,6,Credit Card,In-Store,2023-01-31,TXN,4726376
Txn_6044979,Not Provided,1,1,1,Cash,In-Store,2023-12-08,TXN,6044979
Txn_4238417,Salad,2,5,10,Not Provided,Not Provided,2023-06-19,TXN,4238417
Txn_1900620,Smoothie,2,4,8,Credit Card,Not Provided,2023-12-14,TXN,1900620
Txn_6420335,Coffee,1,2,2,Cash,Takeaway,2023-07-16,TXN,6420335
Txn_3858209,Sandwich,4,4,16,Cash,Not Provided,2023-02-22,TXN,3858209
Txn_2091733,Salad,1,5,5,Not Provided,In-Store,Date Not Recorded,TXN,2091733
Txn_8735480,Tea,5,1.5,7.5,Cash,Not Provided,2023-06-02,TXN,8735480
Txn_3829165,Juice,4,3,12,Cash,In-Store,2023-06-15,TXN,3829165
